Player,Squad,league_name,Pos_clean,role_group,Age,Min,starter_label,age_sq,Gls_per90,Ast_per90,G+A_per90,Sh_per90,SoT_per90,Fls_per90,Fld_per90,Off_per90,Crs_per90,Int_per90,TklW_per90,CrdY_per90,CrdR_per90,starter_probability
Francesco Esposito,Inter,Serie A,FW,FW,20.0,1119,0,400.0,0.4032258064516129,0.24193548387096772,0.6451612903225806,3.629032258064516,1.3709677419354838,1.7741935483870968,3.1451612903225805,0.16129032258064516,0.16129032258064516,0.3225806451612903,0.24193548387096772,0.08064516129032258,0.0,0.17760556275031383
Karl Etta Eyong,Levante,La Liga,FW,FW,22.0,1335,1,484.0,0.33783783783783783,0.13513513513513511,0.47297297297297297,2.2972972972972974,0.9459459459459459,1.6216216216216215,2.0270270270270268,0.4054054054054054,0.8783783783783783,0.27027027027027023,0.7432432432432432,0.13513513513513511,0.0,0.5808958358539115
Evanilson,Bournemouth,Premier League,FW,FW,26.0,2104,1,676.0,0.25641025641025644,0.0,0.25641025641025644,2.5213675213675217,0.9401709401709403,0.7264957264957266,1.0683760683760684,0.982905982905983,0.08547008547008547,0.08547008547008547,0.12820512820512822,0.042735042735042736,0.0,0.8419303060190995
Alieu Fadera,Sassuolo,Serie A,FW,FW,24.0,936,0,576.0,0.1923076923076923,0.09615384615384615,0.28846153846153844,1.25,0.3846153846153846,3.0769230769230766,3.4615384615384612,0.7692307692307692,2.3076923076923075,0.4807692307692307,1.8269230769230769,0.3846153846153846,0.0,0.12426158843201247
Romain Faivre,Auxerre,Ligue 1,FW,FW,27.0,188,0,729.0,0.0,0.0,0.0,2.857142857142857,0.9523809523809523,1.4285714285714286,1.4285714285714286,0.47619047619047616,1.4285714285714286,0.47619047619047616,0.9523809523809523,0.0,0.0,0.18666973857414235
Evan Ferguson,Roma,Serie A,FW,FW,21.0,773,1,441.0,0.3488372093023256,0.23255813953488372,0.5813953488372093,3.1395348837209305,1.744186046511628,1.2790697674418605,1.0465116279069768,0.3488372093023256,0.23255813953488372,0.11627906976744186,0.46511627906976744,0.11627906976744186,0.0,0.6080332508562175
Roberto Férnandez,Espanyol,La Liga,FW,FW,23.0,1806,1,529.0,0.24875621890547261,0.09950248756218905,0.34825870646766166,2.189054726368159,0.8457711442786069,1.3930348258706466,1.7412935323383083,0.24875621890547261,0.34825870646766166,0.24875621890547261,0.09950248756218905,0.14925373134328357,0.0,0.9132963700386276
Zian Flemming,Burnley,Premier League,FW,FW,27.0,1099,1,729.0,0.5737704918032788,0.0,0.5737704918032788,2.7868852459016393,1.1475409836065575,2.377049180327869,1.3934426229508197,0.1639344262295082,0.24590163934426232,0.3278688524590164,0.4098360655737705,0.24590163934426232,0.0,0.788293488915889
Rayan Fofana,Lens,Ligue 1,FW,FW,20.0,672,0,400.0,0.6666666666666666,0.0,0.6666666666666666,4.133333333333334,1.4666666666666666,1.4666666666666666,4.0,0.8,0.5333333333333333,0.13333333333333333,0.4,0.0,0.0,0.0964508857581009
Álex Forés,Oviedo,La Liga,FW,FW,24.0,285,0,576.0,0.0,0.3125,0.3125,2.5,0.625,0.625,1.25,0.3125,0.625,0.3125,0.0,0.0,0.0,0.25574296868677115
