Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Pos_clean,role_group,Player_clean,nation_code,nation_name,league_code,league_name,starts_ratio,minutes_per_appearance,Saves_per90,GA_per90_check
1674,Vanja Milinković-Savić,rs SRB,GK,Napoli,it Serie A,29.0,1997.0,20,20,1800,20.0,0,0,0,0,0,0,0,0,0.0,18.0,0.9,49.0,37.0,71.4,11.0,5.0,4.0,7.0,35.0,6.0,4.0,2.0,0.0,0,0,,0.0,0.0,,,90,69.0,90.0,20,0,,7,1.9,29,18,11,0.55,0.11,0,0,0,1,3,0,0,0,0,0,GK,GK,vanja milinkovic-savic,rs,SRB,it,Serie A,1.0,90.0,1.85,0.9
1711,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,30.0,1996.0,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,44.0,1.69,106.0,65.0,60.4,3.0,8.0,15.0,4.0,15.4,4.0,2.0,2.0,0.0,0,0,,0.0,0.0,,,90,89.7,90.0,26,0,,3,0.65,21,44,-23,-0.88,1.12,0,0,0,0,5,0,0,0,0,0,GK,GK,lorenzo montipo,it,ITA,it,Serie A,1.0,90.0,2.5,1.6923076923076923
1736,Edoardo Motta,it ITA,GK,Lazio,it Serie A,21.0,2005.0,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,1.0,0.5,7.0,6.0,85.7,2.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,6.9,90.0,2,0,,5,3.0,3,1,2,1.0,1.04,1,0,0,0,0,0,0,0,0,0,GK,GK,edoardo motta,it,ITA,it,Serie A,1.0,90.0,3.0,0.5
1741,Lionel Mpasi,cd COD,GK,Le Havre,fr Ligue 1,31.0,1994.0,4,3,315,3.5,0,0,0,0,0,0,1,0,0.0,2.0,0.57,17.0,15.0,88.2,0.0,2.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,79,13.5,90.0,3,1,45.0,21,1.25,2,2,0,0.0,0.53,1,0,0,0,1,0,0,0,0,0,GK,GK,lionel mpasi,cd,COD,fr,Ligue 1,0.75,78.75,4.285714285714286,0.5714285714285714
1758,Arijanet Muric,xk KVX,GK,Sassuolo,it Serie A,27.0,1998.0,28,28,2520,28.0,0,0,0,0,0,0,4,0,0.0,37.0,1.32,136.0,103.0,75.7,11.0,5.0,12.0,6.0,21.4,4.0,4.0,0.0,0.0,0,0,,0.0,0.0,,,90,96.6,90.0,28,0,,1,1.36,35,37,-2,-0.07,1.93,4,0,0,1,3,0,0,0,0,0,GK,GK,arijanet muric,xk,KVX,it,Serie A,1.0,90.0,3.6785714285714284,1.3214285714285714
1768,Juan Musso,ar ARG,GK,Atlético Madrid,es La Liga,31.0,1994.0,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,4.0,4.0,100.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,7.1,90.0,2,0,,24,3.0,2,0,2,1.0,0.23,1,0,0,0,1,0,0,0,0,0,GK,GK,juan musso,ar,ARG,es,La Liga,1.0,90.0,2.0,0.0
1770,Yvon Mvogo,ch SUI,GK,Lorient,fr Ligue 1,31.0,1994.0,23,23,2070,23.0,0,0,0,0,0,0,0,0,0.0,32.0,1.39,80.0,52.0,65.0,8.0,10.0,5.0,4.0,17.4,5.0,4.0,0.0,1.0,0,0,,0.0,0.0,,,90,88.5,90.0,23,0,,0,1.48,32,32,0,0.0,1.0,0,0,0,0,4,0,0,1,1,0,GK,GK,yvon mvogo,ch,SUI,fr,Ligue 1,1.0,90.0,2.260869565217391,1.391304347826087
1811,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,39.0,1986.0,19,19,1620,18.0,0,0,0,0,0,0,0,0,0.0,17.0,0.94,42.0,26.0,61.9,16.0,3.0,0.0,6.0,31.6,1.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,85,69.2,85.0,17,0,,3,2.68,70,17,53,2.94,1.07,0,0,0,0,2,0,0,0,0,0,GK,GK,manuel neuer,de,GER,de,Bundesliga,1.0,85.26315789473684,1.4444444444444444,0.9444444444444444
1832,Moritz Nicolas,de GER,GK,Gladbach,de Bundesliga,28.0,1997.0,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,43.0,1.65,137.0,98.0,71.5,7.0,7.0,12.0,10.0,38.5,4.0,4.0,0.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,26,0,,0,1.08,30,43,-13,-0.5,,0,0,0,0,2,0,0,0,1,0,GK,GK,moritz nicolas,de,GER,de,Bundesliga,1.0,90.0,3.769230769230769,1.6538461538461537
1839,Obed Nkambadio,fr FRA,GK,Paris FC,fr Ligue 1,23.0,2003.0,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,20.0,1.82,39.0,22.0,53.8,2.0,3.0,6.0,1.0,9.1,4.0,2.0,1.0,1.0,0,0,,0.0,0.0,,,90,42.3,90.0,11,0,,14,0.82,15,20,-5,-0.45,0.01,0,0,0,0,0,0,0,0,0,0,GK,GK,obed nkambadio,fr,FRA,fr,Ligue 1,1.0,90.0,2.0,1.8181818181818181
1853,Alexander Nübel,de GER,GK,Stuttgart,de Bundesliga,29.0,1996.0,26,26,2340,26.0,0,1,1,0,0,0,0,0,0.04,34.0,1.31,103.0,76.0,73.8,15.0,5.0,6.0,10.0,38.5,8.0,7.0,1.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,26,0,,0,1.92,51,34,17,0.65,,0,0,0,0,7,0,0,1,0,0,GK,GK,alexander nubel,de,GER,de,Bundesliga,1.0,90.0,2.923076923076923,1.3076923076923077
1863,Ørjan Nyland,no NOR,GK,Sevilla,es La Liga,35.0,1990.0,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,7.0,1.75,15.0,9.0,60.0,1.0,1.0,2.0,1.0,25.0,1.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,90,14.3,90.0,4,0,,23,1.0,7,7,0,0.0,0.42,1,0,0,0,0,0,0,0,0,0,GK,GK,rjan nyland,no,NOR,es,La Liga,1.0,90.0,2.25,1.75
1875,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,33.0,1993.0,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,25.0,0.96,82.0,58.0,70.7,15.0,6.0,5.0,10.0,38.5,2.0,1.0,0.0,1.0,0,0,,0.0,0.0,,,90,92.9,90.0,26,0,,0,1.96,45,25,20,0.77,-0.23,0,0,0,0,4,0,0,0,0,0,GK,GK,jan oblak,si,SVN,es,La Liga,1.0,90.0,2.230769230769231,0.9615384615384616
1890,Maduka Okoye,ng NGA,GK,Udinese,it Serie A,26.0,1999.0,21,21,1806,20.1,0,0,0,0,0,0,1,1,0.0,31.0,1.54,82.0,57.0,68.3,8.0,3.0,10.0,5.0,23.8,6.0,5.0,1.0,0.0,0,0,,0.0,0.0,,,86,69.2,86.0,20,0,,1,1.29,25,26,-1,-0.05,0.85,1,1,0,2,3,0,0,0,0,0,GK,GK,maduka okoye,ng,NGA,it,Serie A,1.0,86.0,2.835820895522388,1.5422885572139302
1915,Stefan Ortega,de GER,GK,Nottingham Forest,eng Premier League,33.0,1992.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,4.0,1.33,12.0,8.0,66.7,0.0,1.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,10.0,90.0,3,0,,0,0.33,1,4,-3,-1.0,-0.56,0,0,0,0,0,0,0,0,0,0,GK,GK,stefan ortega,de,GER,eng,Premier League,1.0,90.0,2.6666666666666665,1.3333333333333333
1934,Berke Özer,tr TUR,GK,Lille,fr Ligue 1,25.0,2000.0,24,24,2160,24.0,0,1,1,0,0,0,3,0,0.04,30.0,1.25,87.0,58.0,66.7,13.0,5.0,6.0,8.0,33.3,2.0,1.0,1.0,0.0,0,0,,0.0,0.0,,,90,92.3,90.0,24,0,,0,1.83,40,30,10,0.42,1.92,3,0,0,0,10,0,0,0,1,0,GK,GK,berke ozer,tr,TUR,fr,Ligue 1,1.0,90.0,2.4166666666666665,1.25
1940,Daniele Padelli,it ITA,GK,Udinese,it Serie A,40.0,1985.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,2.0,1.0,4.0,3.0,75.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,90,6.9,90.0,2,0,,24,0.5,1,2,-1,-0.5,-0.2,0,0,0,0,0,0,0,0,0,0,GK,GK,daniele padelli,it,ITA,it,Serie A,1.0,90.0,1.5,1.0
